utime,FL_wheel_speed,FR_wheel_speed,RL_wheel_speed,RR_wheel_speed,longitudinal_accel,odom_speed,odom,meanEffTorque,pedal_cc,regen,requestedTorqueAfterProc,transversal_accel,left_solar,right_solar,steer_corrected,steer_offset_can,steer_raw
1542800367950996.0,187.8585,209.5842,185.0646,206.0814,0.05000000000000071,22.0,24.0,31.5,198.0,0.0,-348.5,-0.1839999999999975,0.0,0.0,173.60000000000036,-13.300000000000182,160.30000000000018
1542800367958319.0,188.5674,210.7518,185.0646,206.0814,-0.049999999999998934,22.0,24.0,31.5,201.0,0.0,-348.5,-0.22800000000000864,0.0,0.0,173.70000000000027,-13.300000000000182,160.4000000000001
1542800367969938.0,188.5674,210.7518,185.0646,204.6636,-0.049999999999998934,22.0,24.0,32.0,206.0,0.0,-346.5,-0.22800000000000864,0.0,0.0,173.70000000000027,-13.300000000000182,160.4000000000001
1542800367978345.0,189.735,208.6668,185.0646,204.6636,0.0,22.0,24.0,32.5,206.0,0.0,-346.5,-0.20400000000000773,0.0,0.0,173.80000000000018,-13.300000000000182,160.5
1542800367989452.0,189.735,208.6668,184.8144,206.7903,0.0,22.0,24.0,33.0,212.0,0.0,-344.5,-0.20400000000000773,0.0,0.0,173.80000000000018,-13.300000000000182,160.5
1542800367998919.0,188.3172,210.0429,184.8144,206.7903,0.15000000000000036,22.0,24.0,33.5,216.0,0.0,-342.5,-0.20400000000000773,0.0,0.0,173.70000000000027,-13.300000000000182,160.4000000000001
1542800368009379.0,188.3172,210.0429,184.8144,204.9138,0.15000000000000036,22.0,24.0,34.0,222.0,0.0,-340.5,-0.20400000000000773,0.0,0.0,173.80000000000018,-13.300000000000182,160.5
1542800368019224.0,187.8585,210.7518,184.8144,204.9138,-0.049999999999998934,22.0,84.0,34.5,226.0,0.0,-340.5,-0.2079999999999984,0.0,0.0,173.70000000000027,-13.300000000000182,160.4000000000001
1542800368030187.0,187.8585,210.7518,185.5233,206.5401,-0.049999999999998934,22.0,84.0,35.0,231.0,0.0,-338.5,-0.2079999999999984,0.0,0.0,173.80000000000018,-13.300000000000182,160.5
1542800368038337.0,189.2763,209.5842,185.5233,206.5401,-0.09999999999999964,22.0,84.0,36.0,240.0,0.0,-334.5,-0.19599999999999795,0.0,0.0,173.80000000000018,-13.300000000000182,160.5
