range,azimuth,vr,rcs,vr_comp,x_cc,y_cc,x_seq,y_seq,label_id
5.829766,-0.36364013,-10.628546,-17.003752,-0.3280918,6.2010384,6.1212883,1886.5923,526.8832,11.0
8.01678,-0.73009473,-17.398958,-8.975246,-0.12790336,9.507404,6.3604136,1889.9028,527.0553,11.0
4.5741897,0.028106699,-1.4511703,-12.104998,-0.087496094,3.9313035,5.439314,1884.3092,526.2474,11.0
4.6199703,0.13338858,1.0436246,-8.529075,-0.08844315,3.4478233,5.4879565,1883.8268,526.3058,11.0
4.6955457,-4.100908e-06,-2.2113712,-12.758456,-0.18273473,4.070064,5.550868,1884.4502,526.3561,11.0
4.7181253,0.04960325,-0.8374926,-12.114807,0.016924797,3.8384414,5.5878625,1884.2194,526.39777,11.0
4.751494,-0.09688359,-4.377681,-12.7583685,-0.07290822,4.5308547,5.544565,1884.9108,526.34045,11.0
4.7848377,0.106690556,0.48322153,-11.088271,-0.016054204,3.5678158,5.656891,1883.9502,526.4722,11.0
4.952398,0.13132632,1.0517992,-5.4089174,-0.031411987,3.4425428,5.8204885,1883.8282,526.63837,11.0
4.958251,0.015784457,-1.6678846,-11.681091,-0.012563533,4.014799,5.8187547,1884.4004,526.625,11.0
5.07014,0.09603867,0.16978407,-4.886566,-0.076897904,3.6161408,5.942923,1884.0043,526.75726,11.0
5.185254,0.097967885,0.3228132,-3.1283455,0.030379852,3.605074,6.0579305,1883.9955,526.87244,11.0
5.417257,-0.20424998,-6.8153033,-11.414628,-0.036061514,5.2175074,6.0624294,1885.6078,526.8443,11.0
5.459971,-0.005038362,-2.3344548,-14.886323,-0.18688671,4.1637106,6.309963,1884.5592,527.1131,11.0
4.93411,0.21431103,2.9849067,-9.227005,-0.05838003,3.0355322,5.7670503,1883.4202,526.5932,11.0
4.986897,0.30428782,5.239172,-11.209703,0.09475144,2.5869231,5.742415,1882.9712,526.57764,11.0
5.084576,0.24773598,3.841544,-10.988615,0.013932273,2.8482182,5.891869,1883.2355,526.72174,11.0
6.089961,0.14020807,1.2971281,-20.517319,0.003537612,3.3378794,6.9542766,1883.7466,527.77405,11.0
7.096087,0.28963387,4.9143605,-24.340143,0.10974666,2.233497,7.8236094,1882.66,528.6656,11.0
10.038746,0.14108953,0.6855504,-13.36268,-0.6289137,3.1182325,10.896954,1883.6068,531.72034,11.0
10.128206,0.13559917,1.1084763,-19.331459,-0.07595623,3.1689115,10.989147,1883.6594,531.8115,11.0
10.147522,0.3388729,4.1126547,-21.453735,-1.8292408,1.1320515,10.699825,1881.6171,531.5635,11.0
15.040189,0.15958712,1.0372862,-19.457985,-0.71495324,2.5691798,15.873362,1883.1587,536.70685,11.0
8.289086,1.0938038,20.060009,-5.84239,-0.0007743776,-3.3432374,5.3026257,1877.0333,526.2581,11.0
12.559769,1.0944546,9.044928,-8.349619,-11.024086,-6.9573402,7.577935,1873.4661,528.6062,11.0
34.898014,-0.47855246,-12.803317,-12.693983,-0.121327505,22.358229,30.340944,1903.2369,550.7705,11.0
35.51734,-0.4786522,-12.8172,-12.978495,-0.13321081,22.693,30.862007,1903.5822,551.28467,11.0
40.02283,-0.42303556,-11.752259,-14.544649,-0.20185257,23.195364,35.80599,1904.1846,556.21747,11.0
34.284744,-0.051830318,-3.63129,-19.279127,-0.38129032,8.400573,34.828842,1889.373,555.5403,11.0
35.916233,-0.05986211,-3.3736005,-14.091484,0.06498184,8.911557,36.403667,1889.9158,557.10443,11.0
31.635891,0.23703526,3.7343566,-15.42713,0.15741667,-1.0720811,32.152523,1879.8481,553.05646,11.0
31.560642,0.25915363,4.0575995,-16.532557,-0.036994908,-1.7498136,31.966015,1879.1667,552.8837,11.0
32.87459,0.3298315,5.8040795,-15.64768,0.07001631,-4.2482605,32.781475,1876.6853,553.74963,11.0
33.7889,0.31586698,5.489675,-12.806807,0.07752602,-4.0095296,33.77926,1876.9442,554.7424,11.0
38.68316,0.3629323,6.5492835,-15.434382,0.0567535,-6.8835773,38.09069,1874.1581,559.11115,11.0
41.353245,0.35715097,6.4986734,-13.4145565,0.13812673,-7.381343,40.72414,1873.7139,561.75415,11.0
