x,y,vx,vy,vx_comp,vy_comp,x_rms,y_rms,vx_rms,vy_rms,rcs,pdh0,dyn_prop,ambig_state,valid_state
7.0,0.10000000149011612,0.0,0.25,0.0006143437349237502,8.776339200267103e-06,0.616,0.616,0.288,0.011,3.5,1.0,6.0,3.0,0.0
7.800000190734863,-11.5,21.25,0.0,0.8016290664672852,-1.1818889379501343,0.616,0.794,0.794,0.011,-2.5,1.0,0.0,2.0,0.0
14.600000381469727,2.5,-2.5,0.0,-0.5159905552864075,-0.08835455030202866,0.616,0.616,0.288,0.011,9.0,1.0,2.0,3.0,0.0
14.399999618530273,4.300000190734863,-5.0,0.0,-1.313641905784607,-0.3922680914402008,0.794,0.794,0.288,0.011,0.5,1.0,2.0,3.0,0.0
14.800000190734863,2.299999952316284,-2.0,0.0,-0.2245483696460724,-0.03489603102207184,0.794,0.616,0.288,0.011,8.0,1.0,2.0,3.0,0.0
18.600000381469727,5.099999904632568,-3.5,0.0,-0.22094203531742096,-0.06058087199926376,0.616,0.616,0.288,0.011,12.5,1.0,2.0,3.0,0.0
7.400000095367432,-19.100000381469727,0.0,0.0,-4.256127834320068,10.98541259765625,0.005,0.005,0.005,0.005,4.0,6.0,4.0,0.0,7.0
10.800000190734863,18.100000381469727,15.5,0.0,9.55001163482666,16.005111694335938,0.794,0.794,0.794,0.011,3.5,1.0,0.0,1.0,16.0
21.0,7.699999809265137,-4.75,0.0,-0.28714343905448914,-0.10528592020273209,0.616,0.616,0.288,0.011,1.5,1.0,2.0,1.0,0.0
21.0,8.300000190734863,-5.5,0.5,-0.4490225613117218,-0.17747081816196442,0.616,0.616,0.288,0.011,1.0,1.0,6.0,3.0,0.0
21.0,10.100000381469727,-6.75,0.5,-0.527419924736023,-0.25366389751434326,0.616,0.616,0.288,0.011,1.5,1.0,6.0,3.0,0.0
21.799999237060547,8.100000381469727,-5.25,0.5,-0.5083175897598267,-0.18887031078338623,0.616,0.616,0.288,0.011,-0.5,1.0,6.0,3.0,0.0
22.0,-10.5,6.0,0.5,-0.33994928002357483,0.16224852204322815,0.616,0.616,0.288,0.011,5.5,1.0,6.0,3.0,0.0
23.799999237060547,7.300000190734863,-4.5,0.5,-0.6174191832542419,-0.18937647342681885,0.616,0.616,0.288,0.011,2.5,1.0,6.0,3.0,0.0
24.0,8.5,-4.75,0.0,-0.42898544669151306,-0.15193232893943787,0.616,0.616,0.288,0.011,5.5,1.0,2.0,1.0,0.0
21.399999618530273,13.100000381469727,-8.25,0.5,-0.31679007411003113,-0.19392290711402893,0.616,0.616,0.371,0.011,-3.0,3.0,6.0,3.0,4.0
